   448 | remove tlp                                                                                                                                                     | 2024-02-26 22:33 | Removed        |    4   
   341 | -y install --disablerepo=* /tmp/akmods.ABN9WYBq/results/kmod-wl-6.5.6-200.fc38.x86_64-6.30.223.271-49.fc38.x86_64.rpm                                          | 2023-10-10 08:41 | Install        |    1   
   339 | -y install --disablerepo=* /tmp/akmods.iYxKjY2C/results/kmod-wl-6.5.5-200.fc38.x86_64-6.30.223.271-49.fc38.x86_64.rpm                                          | 2023-10-09 09:20 | Upgrade        |    1   
   335 | install helix                                                                                                                                                  | 2023-09-30 14:55 | Install        |    1   
   334 | remove helix                                                                                                                                                   | 2023-09-30 14:55 | Removed        |    1   
   333 | -y install --disablerepo=* /tmp/akmods.UhWetkWr/results/kmod-wl-6.5.5-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                          | 2023-09-28 07:34 | Install        |    1   
   328 | -y install --disablerepo=* /tmp/akmods.Yh3RsO14/results/kmod-wl-6.4.15-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                         | 2023-09-18 08:36 | Install        |    1   
   326 | install bat                                                                                                                                                    | 2023-09-17 22:40 | Install        |    1   
   325 | install helix                                                                                                                                                  | 2023-09-17 14:54 | Install        |    1   
   324 | remove helix                                                                                                                                                   | 2023-09-17 14:54 | Removed        |    1   
   323 | install alacritty                                                                                                                                              | 2023-09-17 14:22 | Install        |    1   
   321 | remove vim                                                                                                                                                     | 2023-09-08 18:57 | Removed        |    4   
   320 | -y install --disablerepo=* /tmp/akmods.ysLza84b/results/kmod-wl-6.4.14-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                         | 2023-09-08 18:51 | Install        |    1   
   318 | install vim                                                                                                                                                    | 2023-09-08 18:16 | I, U           |    6   
   316 | -y install --disablerepo=* /tmp/akmods.JMLbHpKN/results/kmod-wl-6.4.13-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                         | 2023-09-04 09:23 | Install        |    1   
   314 | install xev                                                                                                                                                    | 2023-08-30 09:13 | Install        |    1   
   313 | -y install --disablerepo=* /tmp/akmods.zhPKQymR/results/kmod-wl-6.4.12-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                         | 2023-08-30 09:13 | Install        |    1   
   309 | -y install --disablerepo=* /tmp/akmods.aNbC3dmU/results/kmod-wl-6.4.11-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                         | 2023-08-22 09:57 | Install        |    1   
   304 | -y install --disablerepo=* /tmp/akmods.WCTcpKa8/results/kmod-wl-6.4.7-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                          | 2023-08-06 11:10 | Install        |    1   
   302 | remove emacs                                                                                                                                                   | 2023-08-02 17:23 | Removed        |    2   
   301 | -y install --disablerepo=* /tmp/akmods.ozMepQjI/results/kmod-wl-6.4.6-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                          | 2023-08-02 09:02 | Install        |    1   
   298 | -y install --disablerepo=* /tmp/akmods.wUyAB1JO/results/kmod-wl-6.4.4-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                          | 2023-07-24 09:11 | Install        |    1   
   291 | -y install --disablerepo=* /tmp/akmods.5ua3628Z/results/kmod-wl-6.3.12-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                         | 2023-07-12 08:28 | Install        |    1   
   286 | -y install --disablerepo=* /tmp/akmods.odlVAN31/results/kmod-wl-6.3.11-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                         | 2023-07-06 08:39 | Install        |    1   
   280 | install lazygit                                                                                                                                                | 2023-07-05 00:08 | Install        |    1  <
   269 | -y install --disablerepo=* /tmp/akmods.n1IBY8Ca/results/kmod-wl-6.3.8-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                          | 2023-06-18 11:23 | Install        |    1   
   266 | -y install --disablerepo=* /tmp/akmods.8XnHhzEi/results/kmod-wl-6.3.6-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                          | 2023-06-11 09:55 | Install        |    1   
   264 | install golang                                                                                                                                                 | 2023-06-09 18:52 | Install        |   10   
   257 | -y install --disablerepo=* /tmp/akmods.iwPxHbQJ/results/kmod-wl-6.3.5-200.fc38.x86_64-6.30.223.271-46.fc38.x86_64.rpm                                          | 2023-06-04 15:05 | Install        |    1   
   255 | remove xev                                                                                                                                                     | 2023-06-03 19:33 | Removed        |    1   
   254 | install xev                                                                                                                                                    | 2023-06-03 19:31 | Install        |    1  <
